POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
60356;Head of Military Intelligence;Stefan Antosiewicz;1945;1964;1964;ST;Dismal Enigma;Low;M975148;X
60357;Chief of Air Force;Stefan Antosiewicz;1945;1964;1964;ST;Carpet Bombing Doctrine;Low;M975148;X
60358;Chief of Navy;Iwan Szylingowski;1944;1953;1964;ST;Base Control Doctrine;Low;M975151;X
60359;Chief of Navy;Niko³aj Abramow;1945;1964;1964;ST;Indirect Approach Doctrine;Low;M975152;X
60360;Chief of Navy;Adam Mohuczy;1945;1954;1964;ML;Open Seas Doctrine;High;M975153;X
60361;Chief of Navy;Wlodzimierz Steyer;1944;1958;1964;SL;Base Control Doctrine;High;M975154;X
60362;Chief of Navy;Wiktor S.Czeokow;1950;1964;1964;ST;Base Control Doctrine;Low;M975155;X
60363;Chief of Navy;Aleksander Winogradow;1950;1964;1964;LE;Base Control Doctrine;Low;M975120;X
60364;Chief of Navy;Zdzislaw Studzinski;1955;1964;1964;LWR;Decisive Naval Battle Doctrine;Low;M975123;X
60365;Chief of Navy;Ludwik Janczyszyn;1955;1964;1964;LWR;Open Seas Doctrine;Low;M975156;X
60366;Foreign Minister;Aleksander Zawisza;1943;1964;1964;SD;Iron Fisted Brute;High;M60340;X
60367;Head of Military Intelligence;Lukasz Siemiatkowski;1914;1963;1964;LWR;Political Specialist;High;M975157;X
60368;Minister of Security;Pantaleon Karpinski;1914;1963;1964;LWR;Prince of Terror;High;M975158;X
60369;Minister of Security;Jozef Lokietek Rebe;1914;1963;1964;LWR;Prince of Terror;High;M975159;X
60370;Chief of Staff;Rajmund Jaworski;1916;1963;1964;LWR;School of Defence;High;M975160;X
60371;Foreign Minister;Jozef Niski;1920;1950;1964;LWR;Iron Fisted Brute;High;M975134;X
60372;Head of Government;Adam Szczypiorski;1930;1971;1971;PA;Ambitious Union Boss;High;M60372;X
60373;Head of Government;Antoni Paczek;1930;1953;1964;ML;Ambitious Union Boss;High;M60373;X
60374;Minister of Armament;Antoni Paczek;1924;1953;1964;ML;Resource Industrialist;High;M60373;X
60375;Foreign Minister;Józef Biniszkiewicz;1919;1963;1964;SL;Great Compromiser;High;M60374;X
60376;Head of Government;Henryk Jozewski;1920;1963;1964;PA;Happy Amateur;High;M60376;X
60377;Foreign Minister;Henryk Jozewski;1920;1963;1964;PA;Ideological Crusader;High;M60376;X
60378;Minister of Armament;Leon Janta Polczynski;1914;1961;1964;SC;Administrative Genius;High;M60378;X
60379;Foreign Minister;Leon Janta Polczynski;1914;1961;1964;SC;General Staffer;High;M60378;X
60380;Minister of Armament;Witold Staniewicz;1920;1967;1967;SC;Theoretical Scientist;High;M60380;X
60381;Minister of Armament;Witold Lesniewski;1920;1963;1964;SC;Infantry Proponent;High;M60380;X
60382;Minister of Armament;Karol Niezabytowski;1910;1953;1964;SC;Military Entrepreneur;High;M60382;X
60383;Head of State;Bogus³aw Miedzinski;1930;1963;1964;PA;Die-hard Reformer;High;M60383;X
60384;Head of Government;Bogus³aw Miedzinski;1930;1963;1964;SC;Local Tyrant;High;M60383;X
60385;Minister of Armament;Czeslaw Klarner;1930;1957;1964;SC;Industrial Chemist;High;M60385;X
60386;Head of State;Waclaw Makowski;1930;1964;1964;PA;Democratic Idealist;High;M60386;X
60387;Head of State;Karol Olbracht Habsburg-Lotarynski;1936;1952;1964;PA;Stern Imperialist;High;M60387;X
60388;Head of State;Karol Stefan Altenburg-Habsburg;1939;1964;1964;SC;Benevolent Gentleman;High;M60388;X
60389;Head of State;Adam Karol Czartoryski;1958;1964;1964;SC;Die-hard Reformer;High;M60389;X
60390;Head of State;Jan Tomasz Zamojski ;1939;1964;1964;SD;Weary Stiffneck;High;M60390;X
60391;Head of Government;Kardynal Stefan Wyszynski;1948;1964;1964;SC;Happy Amateur;High;M60391;X
60392;Head of Government;Kardynal A.S. Sapieha;1936;1952;1964;PA;Backroom Backstabber;High;M60392;X
60393;Foreign Minister;Kardynal A.S. Sapieha;1936;1952;1964;PA;Biased Intellectual;High;M60392;X
60394;Minister of Armament;Bp Stanislaw Adamski;1938;1964;1964;PA;Military Entrepreneur;High;M60394;X
60395;Head of Government;Janusz Jedrzejewicz;1914;1963;1964;PA;Political Protege;High;M60395;X
60396;Minister of Armament;Wladyslaw M. Zawadzki;1914;1963;1964;PA;Resource Industrialist;High;M60396;X
60397;Minister of Security;Czeslaw Michalowski;1914;1963;1964;PA;Crime Fighter;High;M60397;X
60398;Head of Military Intelligence;Bronislaw Piernacki;1914;1963;1964;PA;Dismal Enigma;High;M60398;X
60399;Head of Government;Aleksander Prystor;1914;1964;1964;PA;Backroom Backstabber;High;M60399;X
60400;Minister of Armament;Jan Pilsudski;1914;1964;1964;PA;Laissez-Faire Capitalist;High;M60400;X
60401;Head of Government;Leon Kozlowski;1914;1964;1964;PA;Naive Optimist;High;M13080;X
60402;Head of Government;Walery Slawek;1914;1964;1964;PA;Happy Amateur;High;M13040;X
60403;Head of State;Edward Rydz-Smigly;1933;1941;1941;PA;Resigned Generalissimo;High;M13007;X
60404;Head of Government;Edward Rydz-Smigly;1933;1941;1941;PA;Political Protege;High;M13007;X
60405;Head of State;Wojciech Jaruzelski;1980;2020;2020;LE;Stern Imperialist;Very High;POL1;X
60406;Head of Government;Wojciech Jaruzelski;1980;2020;2020;LE;Flamboyant Tough Guy;Very High;POL1;X
60407;Foreign Minister;Stefan Olszowski;1980;2020;2020;LE;General Staffer;Very High;POL2;X
60408;Minister of Armament;Florian Siwicki;1980;2014;2014;LE;Military Entrepreneur;Very High;POL3;X
60409;Minister of Security;Czeslaw Kiszczak;1980;2020;2020;LE;Crime Fighter;Very High;POL4;X
60410;Head of Military Intelligence;Józef Beim;1980;1988;1988;LE;Logistics Specialist;Very High;POL5;X
60411;Chief of Staff;Józef Uzycki;1980;2020;2020;LE;School of Defence;Very High;POL6;X
60412;Chief of Army;Michal Rola-Zymierski;1980;1990;1990;LE;Decisive Battle Doctrine;Very High;POL7;X
60413;Chief of Navy;Piotr Kolodziejczyk;1980;2020;2020;LE;Open Seas Doctrine;Very High;POL8;X
60414;Chief of Air Force;Miroslaw Hermaszewski;1980;2020;2020;LE;Air Superiority Doctrine;Very High;POL9;X
60415;Head of State;Lech Walesa;1980;2020;2020;SD;Barking Buffoon;Very High;POL10;X
60416;Head of Government;Tadeusz Mazowiecki;1980;2014;2014;SC;Silent Workhorse;Very High;POL11;X
60417;Foreign Minister;Krzysztof Skubiszewski;1980;2011;2011;SC;Great Compromiser;Very High;POL12;X
60418;Minister of Armament;Leszek Balcerowicz;1980;2020;2020;ML;Laissez-Faire Capitalist;Very High;POL13;X
60419;Minister of Security;Krzysztof Kozlowski;1980;2014;2014;ML;Crime Fighter;Very High;POL14;X
60420;Head of Military Intelligence;Krzysztof Kozlowski;1980;2014;2014;ML;Political Specialist;Very High;POL14;X
60421;Chief of Staff;Józef Uzycki;1980;2020;2020;SD;School of Manoeuvre;Very High;POL6;X
60422;Chief of Army;Józef Uzycki;1980;2020;2020;SD;Armoured Spearhead Doctrine;Very High;POL6;X
60423;Chief of Navy;Ryszard Lukasik;1980;2020;2020;ML;Indirect Approach Doctrine;Very High;POL15;X
60424;Chief of Air Force;Jerzy Gotowala;1980;2020;2020;ML;Air Superiority Doctrine;Very High;POL16;X
60425;Head of Government;Aleksander Zawisza;1965;1978;1978;ML;Smiling Oilman;Very High;M60320;X
60426;Head of Government;Zygmunt Muchniewski;1970;1980;1980;ML;Old Airmarshal;Very High;M60426;X
60427;Head of State;Stanis³aw Ostrowski;1972;1983;1983;ML;Weary Stiffneck;Very High;M60427;X
60428;Head of Government;Alfred Urbanski;1972;1984;1984;ML;Flamboyant Tough Guy;Very High;M60428;X
60429;Head of Government;Kazimierz Sabbat;1976;1990;1990;ML;Happy Amateur;Very High;M60429;X
60430;Head of State;Kazimierz Sabbat;1986;1990;1990;ML;Die-hard Reformer;Very High;M60429;X
60431;Head of Government;Edward Szczepanik;1986;2006;2006;ML;Smiling Oilman;Very High;M60431;X
60432;Head of State;Ryszard Kaczorowski;1989;2011;2011;ML;Benevolent Gentleman;Very High;M60432;X
60433;Head of Government;Jan Krzysztof Bielecki;1991;2020;2020;ML;Corporate Suit;Very High;M60433;X
60434;Head of Government;Aleksander Kwasniewski;1991;2020;2020;SL;Political Protege;Very High;M60434;X
60435;Head of Government;Jan Olszewski;1991;2020;2020;SC;Flamboyant Tough Guy;Very High;M60435;X
60436;Head of State;Janusz Korwin-Mikke;1989;2020;2020;PA;Stern Imperialist;High;POL17;X
60437;Head of Government;Janusz Korwin-Mikke;1989;2020;2020;PA;Silent Workhorse;High;POL17;X
60438;Foreign Minister;Krzysztof Skubiszewski;1980;2011;2011;PA;Great Compromiser;Very High;POL12;X
60439;Minister of Armament;Jan Olszewski;1980;2020;2020;PA;Administrative Genius;Very High;M60435;X
60440;Minister of Security;Stanislaw Michalkiewicz;1980;2020;2020;PA;Crime Fighter;Very High;POL18;X
60441;Head of Military Intelligence;Stanislaw Michalkiewicz;1980;2020;2020;PA;Political Specialist;Very High;POL18;X
60442;Chief of Staff;Adam Karol Czartoryski;1980;2020;2020;PA;School of Psychology;Very High;M60389;X
60443;Chief of Army;Adam Karol Czartoryski;1980;2020;2020;PA;Armoured Spearhead Doctrine;Very High;M60389;X
60444;Chief of Navy;N/A;1936;2020;2020;PA;Generic;Very High;Unknown;X
60445;Chief of Air Force;Adam Karol Czartoryski;1980;2020;2020;PA;Army Aviation Doctrine;Very High;M60389;X
